symbol,timeframe,timestamp,date,time,open,high,low,close,volume,source
FIB6F,1H,2026-01-07 10:00:00,2026-01-07,10:00:00,45170,45170,45170,45170,1,DIRECTA
FIB6F,1H,2026-01-15 10:00:00,2026-01-15,10:00:00,45175,45175,45175,45175,1,DIRECTA
FIB6F,1H,2026-01-19 08:00:00,2026-01-19,08:00:00,44600,44600,44600,44600,0,DIRECTA
FIB6F,1H,2026-01-19 13:00:00,2026-01-19,13:00:00,44555,44555,44555,44555,2,DIRECTA
FIB6F,1H,2026-01-19 14:00:00,2026-01-19,14:00:00,44650,44650,44650,44650,1,DIRECTA
FIB6F,1H,2026-01-19 17:00:00,2026-01-19,17:00:00,44550,44550,44550,44550,1,DIRECTA
FIB6F,1H,2026-01-27 14:00:00,2026-01-27,14:00:00,44650,44650,44650,44650,1,DIRECTA
FIB6F,1H,2026-01-27 15:00:00,2026-01-27,15:00:00,44690,44690,44690,44690,1,DIRECTA
FIB6F,1H,2026-01-28 12:00:00,2026-01-28,12:00:00,44500,44505,44500,44505,2,DIRECTA
FIB6F,1H,2026-01-28 14:00:00,2026-01-28,14:00:00,44400,44425,44400,44410,3,DIRECTA
FIB6F,1H,2026-01-28 15:00:00,2026-01-28,15:00:00,44430,44580,44430,44580,5,DIRECTA
FIB6F,1H,2026-01-28 17:00:00,2026-01-28,17:00:00,44460,44470,44460,44470,2,DIRECTA
FIB6F,1H,2026-01-29 10:00:00,2026-01-29,10:00:00,44800,44820,44790,44790,5,DIRECTA
FIB6F,1H,2026-01-29 11:00:00,2026-01-29,11:00:00,44810,44810,44790,44790,2,DIRECTA
FIB6F,1H,2026-01-29 14:00:00,2026-01-29,14:00:00,44810,44810,44810,44810,1,DIRECTA
FIB6F,1H,2026-01-29 15:00:00,2026-01-29,15:00:00,44800,44800,44800,44800,1,DIRECTA
FIB6F,1H,2026-01-29 16:00:00,2026-01-29,16:00:00,44465,44465,44465,44465,1,DIRECTA
FIB6F,1H,2026-01-29 17:00:00,2026-01-29,17:00:00,44465,44465,44465,44465,1,DIRECTA
FIB6F,1H,2026-01-29 18:00:00,2026-01-29,18:00:00,44650,44650,44580,44580,3,DIRECTA
FIB6F,1H,2026-01-30 10:00:00,2026-01-30,10:00:00,44835,44835,44835,44835,1,DIRECTA
FIB6F,1H,2026-01-30 12:00:00,2026-01-30,12:00:00,44855,44855,44855,44855,1,DIRECTA
FIB6F,1H,2026-02-02 10:00:00,2026-02-02,10:00:00,44830,44830,44780,44825,4,DIRECTA
FIB6F,1H,2026-02-03 08:00:00,2026-02-03,08:00:00,45700,45700,45700,45700,1,DIRECTA
FIB6F,1H,2026-02-03 10:00:00,2026-02-03,10:00:00,45750,45770,45750,45770,2,DIRECTA
FIB6F,1H,2026-02-03 12:00:00,2026-02-03,12:00:00,45750,45750,45750,45750,1,DIRECTA
FIB6F,1H,2026-02-03 13:00:00,2026-02-03,13:00:00,45885,46050,45885,46050,2,DIRECTA
