symbol,timeframe,timestamp,date,time,open,high,low,close,volume,source
FIB6F,W,2026-01-07 08:00:00,2026-01-07,08:00:00,45170,45170,44877,45028,1,AGG_FROM_D
FIB6F,D,2026-01-07 08:00:00,2026-01-07,08:00:00,45170,45170,44877,44877,1,DIRECTA
FIB6F,1H,2026-01-07 10:00:00,2026-01-07,10:00:00,45170,45170,45170,45170,1,DIRECTA
FIB6F,15M,2026-01-07 10:30:00,2026-01-07,10:30:00,45170,45170,45170,45170,1,DIRECTA
FIB6F,5M,2026-01-07 10:35:00,2026-01-07,10:35:00,45170,45170,45170,45170,1,DIRECTA
FIB6F,D,2026-01-08 08:00:00,2026-01-08,08:00:00,44987,44987,44987,44987,0,DIRECTA
FIB6F,D,2026-01-09 08:00:00,2026-01-09,08:00:00,45028,45028,45028,45028,0,DIRECTA
FIB6F,W,2026-01-12 08:00:00,2026-01-12,08:00:00,45031,45175,44822,45082,1,AGG_FROM_D
FIB6F,D,2026-01-12 08:00:00,2026-01-12,08:00:00,45031,45031,45031,45031,0,DIRECTA
FIB6F,D,2026-01-13 08:00:00,2026-01-13,08:00:00,44822,44822,44822,44822,0,DIRECTA
FIB6F,D,2026-01-14 08:00:00,2026-01-14,08:00:00,44941,44941,44941,44941,0,DIRECTA
FIB6F,D,2026-01-15 08:00:00,2026-01-15,08:00:00,45175,45175,45139,45139,1,DIRECTA
FIB6F,1H,2026-01-15 10:00:00,2026-01-15,10:00:00,45175,45175,45175,45175,1,DIRECTA
FIB6F,15M,2026-01-15 10:15:00,2026-01-15,10:15:00,45175,45175,45175,45175,1,DIRECTA
FIB6F,5M,2026-01-15 10:25:00,2026-01-15,10:25:00,45175,45175,45175,45175,1,DIRECTA
FIB6F,D,2026-01-16 08:00:00,2026-01-16,08:00:00,45082,45082,45082,45082,0,DIRECTA
FIB6F,W,2026-01-19 08:00:00,2026-01-19,08:00:00,44600,44650,43881,44215,4,AGG_FROM_D
FIB6F,D,2026-01-19 08:00:00,2026-01-19,08:00:00,44600,44650,44550,44596,4,DIRECTA
FIB6F,1H,2026-01-19 08:00:00,2026-01-19,08:00:00,44600,44600,44600,44600,0,DIRECTA
FIB6F,15M,2026-01-19 08:00:00,2026-01-19,08:00:00,44600,44600,44600,44600,0,DIRECTA
FIB6F,5M,2026-01-19 08:00:00,2026-01-19,08:00:00,44600,44600,44600,44600,0,DIRECTA
FIB6F,1H,2026-01-19 13:00:00,2026-01-19,13:00:00,44555,44555,44555,44555,2,DIRECTA
FIB6F,15M,2026-01-19 13:00:00,2026-01-19,13:00:00,44555,44555,44555,44555,2,DIRECTA
FIB6F,5M,2026-01-19 13:10:00,2026-01-19,13:10:00,44555,44555,44555,44555,2,DIRECTA
FIB6F,1H,2026-01-19 14:00:00,2026-01-19,14:00:00,44650,44650,44650,44650,1,DIRECTA
FIB6F,15M,2026-01-19 14:30:00,2026-01-19,14:30:00,44650,44650,44650,44650,1,DIRECTA
FIB6F,5M,2026-01-19 14:30:00,2026-01-19,14:30:00,44650,44650,44650,44650,1,DIRECTA
FIB6F,1H,2026-01-19 17:00:00,2026-01-19,17:00:00,44550,44550,44550,44550,1,DIRECTA
FIB6F,15M,2026-01-19 17:30:00,2026-01-19,17:30:00,44550,44550,44550,44550,1,DIRECTA
FIB6F,5M,2026-01-19 17:40:00,2026-01-19,17:40:00,44550,44550,44550,44550,1,DIRECTA
FIB6F,D,2026-01-20 08:00:00,2026-01-20,08:00:00,44111,44111,44111,44111,0,DIRECTA
FIB6F,D,2026-01-21 08:00:00,2026-01-21,08:00:00,43881,43881,43881,43881,0,DIRECTA
FIB6F,D,2026-01-22 08:00:00,2026-01-22,08:00:00,44479,44479,44479,44479,0,DIRECTA
FIB6F,D,2026-01-23 08:00:00,2026-01-23,08:00:00,44215,44215,44215,44215,0,DIRECTA
FIB6F,W,2026-01-27 08:00:00,2026-01-27,08:00:00,44650,44896,44400,44896,30,AGG_FROM_D
FIB6F,D,2026-01-27 08:00:00,2026-01-27,08:00:00,44650,44819,44650,44819,2,DIRECTA
FIB6F,1H,2026-01-27 14:00:00,2026-01-27,14:00:00,44650,44650,44650,44650,1,DIRECTA
FIB6F,15M,2026-01-27 14:30:00,2026-01-27,14:30:00,44650,44650,44650,44650,1,DIRECTA
FIB6F,5M,2026-01-27 14:40:00,2026-01-27,14:40:00,44650,44650,44650,44650,1,DIRECTA
FIB6F,1H,2026-01-27 15:00:00,2026-01-27,15:00:00,44690,44690,44690,44690,1,DIRECTA
FIB6F,15M,2026-01-27 15:00:00,2026-01-27,15:00:00,44690,44690,44690,44690,1,DIRECTA
FIB6F,5M,2026-01-27 15:10:00,2026-01-27,15:10:00,44690,44690,44690,44690,1,DIRECTA
FIB6F,D,2026-01-28 08:00:00,2026-01-28,08:00:00,44500,44580,44400,44510,12,DIRECTA
FIB6F,1H,2026-01-28 12:00:00,2026-01-28,12:00:00,44500,44505,44500,44505,2,DIRECTA
FIB6F,15M,2026-01-28 12:00:00,2026-01-28,12:00:00,44500,44500,44500,44500,1,DIRECTA
FIB6F,5M,2026-01-28 12:05:00,2026-01-28,12:05:00,44500,44500,44500,44500,1,DIRECTA
FIB6F,15M,2026-01-28 12:15:00,2026-01-28,12:15:00,44505,44505,44505,44505,1,DIRECTA
FIB6F,5M,2026-01-28 12:20:00,2026-01-28,12:20:00,44505,44505,44505,44505,1,DIRECTA
FIB6F,1H,2026-01-28 14:00:00,2026-01-28,14:00:00,44400,44425,44400,44410,3,DIRECTA
FIB6F,15M,2026-01-28 14:45:00,2026-01-28,14:45:00,44400,44425,44400,44410,3,DIRECTA
FIB6F,5M,2026-01-28 14:45:00,2026-01-28,14:45:00,44400,44400,44400,44400,1,DIRECTA
FIB6F,5M,2026-01-28 14:50:00,2026-01-28,14:50:00,44425,44425,44425,44425,1,DIRECTA
FIB6F,5M,2026-01-28 14:55:00,2026-01-28,14:55:00,44410,44410,44410,44410,1,DIRECTA
FIB6F,1H,2026-01-28 15:00:00,2026-01-28,15:00:00,44430,44580,44430,44580,5,DIRECTA
FIB6F,15M,2026-01-28 15:00:00,2026-01-28,15:00:00,44430,44440,44430,44440,2,DIRECTA
FIB6F,5M,2026-01-28 15:00:00,2026-01-28,15:00:00,44430,44430,44430,44430,1,DIRECTA
FIB6F,5M,2026-01-28 15:10:00,2026-01-28,15:10:00,44440,44440,44440,44440,1,DIRECTA
FIB6F,15M,2026-01-28 15:15:00,2026-01-28,15:15:00,44460,44460,44460,44460,1,DIRECTA
FIB6F,5M,2026-01-28 15:15:00,2026-01-28,15:15:00,44460,44460,44460,44460,1,DIRECTA
FIB6F,15M,2026-01-28 15:30:00,2026-01-28,15:30:00,44530,44530,44530,44530,1,DIRECTA
FIB6F,5M,2026-01-28 15:35:00,2026-01-28,15:35:00,44530,44530,44530,44530,1,DIRECTA
FIB6F,15M,2026-01-28 15:45:00,2026-01-28,15:45:00,44580,44580,44580,44580,1,DIRECTA
FIB6F,5M,2026-01-28 15:45:00,2026-01-28,15:45:00,44580,44580,44580,44580,1,DIRECTA
FIB6F,1H,2026-01-28 17:00:00,2026-01-28,17:00:00,44460,44470,44460,44470,2,DIRECTA
FIB6F,15M,2026-01-28 17:30:00,2026-01-28,17:30:00,44460,44460,44460,44460,1,DIRECTA
FIB6F,5M,2026-01-28 17:35:00,2026-01-28,17:35:00,44460,44460,44460,44460,1,DIRECTA
FIB6F,15M,2026-01-28 17:45:00,2026-01-28,17:45:00,44470,44470,44470,44470,1,DIRECTA
FIB6F,5M,2026-01-28 17:55:00,2026-01-28,17:55:00,44470,44470,44470,44470,1,DIRECTA
FIB6F,D,2026-01-29 08:00:00,2026-01-29,08:00:00,44800,44820,44443,44443,14,DIRECTA
FIB6F,1H,2026-01-29 10:00:00,2026-01-29,10:00:00,44800,44820,44790,44790,5,DIRECTA
FIB6F,15M,2026-01-29 10:15:00,2026-01-29,10:15:00,44800,44820,44800,44820,2,DIRECTA
FIB6F,5M,2026-01-29 10:15:00,2026-01-29,10:15:00,44800,44820,44800,44820,2,DIRECTA
FIB6F,15M,2026-01-29 10:30:00,2026-01-29,10:30:00,44790,44810,44790,44810,2,DIRECTA
FIB6F,5M,2026-01-29 10:35:00,2026-01-29,10:35:00,44790,44810,44790,44810,2,DIRECTA
FIB6F,15M,2026-01-29 10:45:00,2026-01-29,10:45:00,44790,44790,44790,44790,1,DIRECTA
