symbol,timeframe,timestamp,date,time,open,high,low,close,volume,source
FIB6F,W,2026-01-07 08:00:00,2026-01-07,08:00:00,45170,45170,44877,45028,1,AGG_FROM_D
FIB6F,W,2026-01-12 08:00:00,2026-01-12,08:00:00,45031,45175,44822,45082,1,AGG_FROM_D
FIB6F,W,2026-01-19 08:00:00,2026-01-19,08:00:00,44600,44650,43881,44215,4,AGG_FROM_D
FIB6F,W,2026-01-27 08:00:00,2026-01-27,08:00:00,44650,44896,44400,44896,30,AGG_FROM_D
FIB6F,W,2026-02-02 08:00:00,2026-02-02,08:00:00,44830,46280,44780,45229,33,AGG_FROM_D
FIB6F,W,2026-02-09 08:00:00,2026-02-09,08:00:00,45780,46250,44800,44800,32,AGG_FROM_D
FIB6F,W,2026-02-16 08:00:00,2026-02-16,08:00:00,44980,45985,44650,45880,21,AGG_FROM_D
FIB6F,W,2026-02-23 08:00:00,2026-02-23,08:00:00,46190,46816,45850,46601,26,AGG_FROM_D
FIB6F,W,2026-03-02 08:00:00,2026-03-02,08:00:00,45340,45651,42820,43434,101,AGG_FROM_D
FIB6F,W,2026-03-09 08:00:00,2026-03-09,08:00:00,42750,44705,42695,43593,258,AGG_FROM_D
FIB6F,W,2026-03-16 08:00:00,2026-03-16,08:00:00,43480,44725,41495,42095,32973,AGG_FROM_D
FIB6F,W,2026-03-23 08:00:00,2026-03-23,08:00:00,41350,43525,40900,42655,101031,AGG_FROM_D
FIB6F,W,2026-03-30 08:00:00,2026-03-30,08:00:00,42335,45210,42310,44881,65298,AGG_FROM_D
