symbol,timeframe,timestamp,date,time,open,high,low,close,volume,source
MINI6F,1H,2025-12-23 12:00:00,2025-12-23,12:00:00,44100,44100,44100,44100,1,DIRECTA
MINI6F,1H,2026-01-02 10:00:00,2026-01-02,10:00:00,44750,44750,44750,44750,0,DIRECTA
MINI6F,1H,2026-01-02 11:00:00,2026-01-02,11:00:00,44625,44695,44600,44600,5,DIRECTA
MINI6F,1H,2026-01-02 12:00:00,2026-01-02,12:00:00,44600,44600,44600,44600,1,DIRECTA
MINI6F,1H,2026-01-02 14:00:00,2026-01-02,14:00:00,44760,44760,44760,44760,1,DIRECTA
MINI6F,1H,2026-01-05 11:00:00,2026-01-05,11:00:00,44910,44910,44910,44910,1,DIRECTA
MINI6F,1H,2026-01-07 10:00:00,2026-01-07,10:00:00,44810,45095,44810,45095,2,DIRECTA
MINI6F,1H,2026-01-07 17:00:00,2026-01-07,17:00:00,44990,44990,44990,44990,1,DIRECTA
MINI6F,1H,2026-01-15 11:00:00,2026-01-15,11:00:00,45140,45140,45140,45140,1,DIRECTA
MINI6F,1H,2026-01-15 13:00:00,2026-01-15,13:00:00,45085,45085,45085,45085,1,DIRECTA
MINI6F,1H,2026-01-19 12:00:00,2026-01-19,12:00:00,44430,44430,44430,44430,1,DIRECTA
MINI6F,1H,2026-01-19 17:00:00,2026-01-19,17:00:00,44735,44735,44610,44630,3,DIRECTA
MINI6F,1H,2026-01-20 17:00:00,2026-01-20,17:00:00,44135,44135,44135,44135,1,DIRECTA
MINI6F,1H,2026-01-20 18:00:00,2026-01-20,18:00:00,44050,44050,44050,44050,1,DIRECTA
MINI6F,1H,2026-01-21 09:00:00,2026-01-21,09:00:00,43935,43935,43935,43935,1,DIRECTA
MINI6F,1H,2026-01-22 10:00:00,2026-01-22,10:00:00,44325,44325,44325,44325,2,DIRECTA
MINI6F,1H,2026-01-26 14:00:00,2026-01-26,14:00:00,44365,44365,44365,44365,1,DIRECTA
MINI6F,1H,2026-01-27 11:00:00,2026-01-27,11:00:00,44510,44510,44510,44510,1,DIRECTA
MINI6F,1H,2026-01-27 15:00:00,2026-01-27,15:00:00,44740,44740,44740,44740,1,DIRECTA
MINI6F,1H,2026-01-27 17:00:00,2026-01-27,17:00:00,44900,44900,44900,44900,2,DIRECTA
MINI6F,1H,2026-01-28 08:00:00,2026-01-28,08:00:00,44820,44820,44820,44820,1,DIRECTA
MINI6F,1H,2026-02-02 14:00:00,2026-02-02,14:00:00,44875,45155,44875,45155,2,DIRECTA
MINI6F,1H,2026-02-03 17:00:00,2026-02-03,17:00:00,45570,45570,45570,45570,1,DIRECTA
MINI6F,1H,2026-02-04 12:00:00,2026-02-04,12:00:00,46345,46350,46345,46350,2,DIRECTA
MINI6F,1H,2026-02-04 13:00:00,2026-02-04,13:00:00,46330,46330,46040,46255,3,DIRECTA
MINI6F,1H,2026-02-04 15:00:00,2026-02-04,15:00:00,46285,46595,46285,46400,3,DIRECTA
MINI6F,1H,2026-02-04 17:00:00,2026-02-04,17:00:00,46000,46000,46000,46000,1,DIRECTA
MINI6F,1H,2026-02-05 11:00:00,2026-02-05,11:00:00,46000,46000,45800,45800,2,DIRECTA
MINI6F,1H,2026-02-05 15:00:00,2026-02-05,15:00:00,45525,45525,45335,45335,4,DIRECTA
MINI6F,1H,2026-02-06 15:00:00,2026-02-06,15:00:00,45280,45280,45280,45280,1,DIRECTA
MINI6F,1H,2026-02-06 17:00:00,2026-02-06,17:00:00,45505,45505,45275,45275,2,DIRECTA
MINI6F,1H,2026-02-09 08:00:00,2026-02-09,08:00:00,45600,45635,45600,45635,2,DIRECTA
MINI6F,1H,2026-02-09 14:00:00,2026-02-09,14:00:00,45910,45910,45910,45910,1,DIRECTA
MINI6F,1H,2026-02-09 16:00:00,2026-02-09,16:00:00,46000,46365,46000,46365,4,DIRECTA
MINI6F,1H,2026-02-09 17:00:00,2026-02-09,17:00:00,46185,46185,46185,46185,1,DIRECTA
MINI6F,1H,2026-02-10 08:00:00,2026-02-10,08:00:00,46240,46240,46240,46240,1,DIRECTA
MINI6F,1H,2026-02-10 09:00:00,2026-02-10,09:00:00,46235,46235,46235,46235,1,DIRECTA
MINI6F,1H,2026-02-13 11:00:00,2026-02-13,11:00:00,45045,45045,44980,44980,3,DIRECTA
MINI6F,1H,2026-02-13 15:00:00,2026-02-13,15:00:00,44500,44500,44500,44500,1,DIRECTA
MINI6F,1H,2026-02-13 16:00:00,2026-02-13,16:00:00,44970,44970,44795,44795,2,DIRECTA
MINI6F,1H,2026-02-16 08:00:00,2026-02-16,08:00:00,45075,45075,45075,45075,1,DIRECTA
MINI6F,1H,2026-02-16 10:00:00,2026-02-16,10:00:00,45075,45075,45075,45075,2,DIRECTA
MINI6F,1H,2026-02-16 13:00:00,2026-02-16,13:00:00,45100,45100,45100,45100,2,DIRECTA
MINI6F,1H,2026-02-16 14:00:00,2026-02-16,14:00:00,44940,44940,44940,44940,1,DIRECTA
MINI6F,1H,2026-02-17 15:00:00,2026-02-17,15:00:00,45070,45070,45070,45070,1,DIRECTA
MINI6F,1H,2026-02-17 16:00:00,2026-02-17,16:00:00,44930,44975,44925,44975,10,DIRECTA
MINI6F,1H,2026-02-17 17:00:00,2026-02-17,17:00:00,45000,45000,45000,45000,2,DIRECTA
MINI6F,1H,2026-02-17 19:00:00,2026-02-17,19:00:00,45200,45200,45200,45200,1,DIRECTA
MINI6F,1H,2026-02-18 09:00:00,2026-02-18,09:00:00,45450,45450,45380,45380,2,DIRECTA
MINI6F,1H,2026-02-18 10:00:00,2026-02-18,10:00:00,45515,45550,45515,45550,4,DIRECTA
MINI6F,1H,2026-02-18 13:00:00,2026-02-18,13:00:00,45630,45700,45630,45700,6,DIRECTA
MINI6F,1H,2026-02-18 15:00:00,2026-02-18,15:00:00,45600,45750,45600,45750,10,DIRECTA
