symbol,timeframe,timestamp,date,time,open,high,low,close,volume,source
MINI6F,W,2025-12-23 08:00:00,2025-12-23,08:00:00,44100,44100,43966,43966,1,AGG_FROM_D
MINI6F,D,2025-12-23 08:00:00,2025-12-23,08:00:00,44100,44100,43966,43966,1,DIRECTA
MINI6F,1H,2025-12-23 12:00:00,2025-12-23,12:00:00,44100,44100,44100,44100,1,DIRECTA
MINI6F,15M,2025-12-23 12:45:00,2025-12-23,12:45:00,44100,44100,44100,44100,1,DIRECTA
MINI6F,5M,2025-12-23 12:55:00,2025-12-23,12:55:00,44100,44100,44100,44100,1,DIRECTA
MINI6F,W,2025-12-29 08:00:00,2025-12-29,08:00:00,43786,44760,43786,44697,7,AGG_FROM_D
MINI6F,D,2025-12-29 08:00:00,2025-12-29,08:00:00,43786,43786,43786,43786,0,DIRECTA
MINI6F,D,2025-12-30 08:00:00,2025-12-30,08:00:00,44293,44293,44293,44293,0,DIRECTA
MINI6F,D,2026-01-02 08:00:00,2026-01-02,08:00:00,44750,44760,44600,44697,7,DIRECTA
MINI6F,1H,2026-01-02 10:00:00,2026-01-02,10:00:00,44750,44750,44750,44750,0,DIRECTA
MINI6F,15M,2026-01-02 10:00:00,2026-01-02,10:00:00,44750,44750,44750,44750,0,DIRECTA
MINI6F,5M,2026-01-02 10:00:00,2026-01-02,10:00:00,44750,44750,44750,44750,0,DIRECTA
MINI6F,1H,2026-01-02 11:00:00,2026-01-02,11:00:00,44625,44695,44600,44600,5,DIRECTA
MINI6F,15M,2026-01-02 11:00:00,2026-01-02,11:00:00,44625,44625,44625,44625,0,DIRECTA
MINI6F,5M,2026-01-02 11:10:00,2026-01-02,11:10:00,44625,44625,44625,44625,0,DIRECTA
MINI6F,15M,2026-01-02 11:15:00,2026-01-02,11:15:00,44600,44600,44600,44600,0,DIRECTA
MINI6F,5M,2026-01-02 11:25:00,2026-01-02,11:25:00,44600,44600,44600,44600,0,DIRECTA
MINI6F,15M,2026-01-02 11:30:00,2026-01-02,11:30:00,44695,44695,44695,44695,0,DIRECTA
MINI6F,5M,2026-01-02 11:35:00,2026-01-02,11:35:00,44695,44695,44695,44695,0,DIRECTA
MINI6F,15M,2026-01-02 11:45:00,2026-01-02,11:45:00,44600,44600,44600,44600,0,DIRECTA
MINI6F,5M,2026-01-02 11:55:00,2026-01-02,11:55:00,44600,44600,44600,44600,0,DIRECTA
MINI6F,1H,2026-01-02 12:00:00,2026-01-02,12:00:00,44600,44600,44600,44600,1,DIRECTA
MINI6F,15M,2026-01-02 12:00:00,2026-01-02,12:00:00,44600,44600,44600,44600,0,DIRECTA
MINI6F,5M,2026-01-02 12:00:00,2026-01-02,12:00:00,44600,44600,44600,44600,0,DIRECTA
MINI6F,1H,2026-01-02 14:00:00,2026-01-02,14:00:00,44760,44760,44760,44760,1,DIRECTA
MINI6F,15M,2026-01-02 14:45:00,2026-01-02,14:45:00,44760,44760,44760,44760,0,DIRECTA
MINI6F,5M,2026-01-02 14:45:00,2026-01-02,14:45:00,44760,44760,44760,44760,0,DIRECTA
MINI6F,W,2026-01-05 08:00:00,2026-01-05,08:00:00,44910,45173,44810,45028,4,AGG_FROM_D
MINI6F,D,2026-01-05 08:00:00,2026-01-05,08:00:00,44910,45173,44910,45173,1,DIRECTA
MINI6F,1H,2026-01-05 11:00:00,2026-01-05,11:00:00,44910,44910,44910,44910,1,DIRECTA
MINI6F,15M,2026-01-05 11:45:00,2026-01-05,11:45:00,44910,44910,44910,44910,0,DIRECTA
MINI6F,5M,2026-01-05 11:55:00,2026-01-05,11:55:00,44910,44910,44910,44910,0,DIRECTA
MINI6F,D,2026-01-06 08:00:00,2026-01-06,08:00:00,45076,45076,45076,45076,0,DIRECTA
