symbol,timeframe,timestamp,date,time,open,high,low,close,volume,source
MINI6F,D,2025-12-23 08:00:00,2025-12-23,08:00:00,44100,44100,43966,43966,1,DIRECTA
MINI6F,D,2025-12-29 08:00:00,2025-12-29,08:00:00,43786,43786,43786,43786,0,DIRECTA
MINI6F,D,2025-12-30 08:00:00,2025-12-30,08:00:00,44293,44293,44293,44293,0,DIRECTA
MINI6F,D,2026-01-02 08:00:00,2026-01-02,08:00:00,44750,44760,44600,44697,7,DIRECTA
MINI6F,D,2026-01-05 08:00:00,2026-01-05,08:00:00,44910,45173,44910,45173,1,DIRECTA
MINI6F,D,2026-01-06 08:00:00,2026-01-06,08:00:00,45076,45076,45076,45076,0,DIRECTA
MINI6F,D,2026-01-07 08:00:00,2026-01-07,08:00:00,44810,45095,44810,44877,3,DIRECTA
MINI6F,D,2026-01-08 08:00:00,2026-01-08,08:00:00,44987,44987,44987,44987,0,DIRECTA
MINI6F,D,2026-01-09 08:00:00,2026-01-09,08:00:00,45028,45028,45028,45028,0,DIRECTA
MINI6F,D,2026-01-12 08:00:00,2026-01-12,08:00:00,45031,45031,45031,45031,0,DIRECTA
MINI6F,D,2026-01-13 08:00:00,2026-01-13,08:00:00,44822,44822,44822,44822,0,DIRECTA
MINI6F,D,2026-01-14 08:00:00,2026-01-14,08:00:00,44941,44941,44941,44941,0,DIRECTA
MINI6F,D,2026-01-15 08:00:00,2026-01-15,08:00:00,45140,45140,45085,45139,2,DIRECTA
MINI6F,D,2026-01-16 08:00:00,2026-01-16,08:00:00,45082,45082,45082,45082,0,DIRECTA
MINI6F,D,2026-01-19 08:00:00,2026-01-19,08:00:00,44430,44735,44430,44596,4,DIRECTA
MINI6F,D,2026-01-20 08:00:00,2026-01-20,08:00:00,44135,44135,44050,44111,2,DIRECTA
MINI6F,D,2026-01-21 08:00:00,2026-01-21,08:00:00,43935,43935,43881,43881,1,DIRECTA
MINI6F,D,2026-01-22 08:00:00,2026-01-22,08:00:00,44325,44479,44325,44479,2,DIRECTA
MINI6F,D,2026-01-23 08:00:00,2026-01-23,08:00:00,44215,44215,44215,44215,0,DIRECTA
MINI6F,D,2026-01-26 08:00:00,2026-01-26,08:00:00,44365,44365,44332,44332,1,DIRECTA
MINI6F,D,2026-01-27 08:00:00,2026-01-27,08:00:00,44510,44900,44510,44819,4,DIRECTA
MINI6F,D,2026-01-28 08:00:00,2026-01-28,08:00:00,44820,44820,44510,44510,1,DIRECTA
MINI6F,D,2026-01-29 08:00:00,2026-01-29,08:00:00,44443,44443,44443,44443,0,DIRECTA
MINI6F,D,2026-01-30 08:00:00,2026-01-30,08:00:00,44896,44896,44896,44896,0,DIRECTA
MINI6F,D,2026-02-02 08:00:00,2026-02-02,08:00:00,44875,45377,44875,45377,2,DIRECTA
MINI6F,D,2026-02-03 08:00:00,2026-02-03,08:00:00,45570,45790,45570,45790,1,DIRECTA
MINI6F,D,2026-02-04 08:00:00,2026-02-04,08:00:00,46345,46595,46000,46011,9,DIRECTA
MINI6F,D,2026-02-05 08:00:00,2026-02-05,08:00:00,46000,46000,45176,45176,6,DIRECTA
MINI6F,D,2026-02-06 08:00:00,2026-02-06,08:00:00,45280,45505,45229,45229,3,DIRECTA
MINI6F,D,2026-02-09 08:00:00,2026-02-09,08:00:00,45600,46365,45600,46171,8,DIRECTA
MINI6F,D,2026-02-10 08:00:00,2026-02-10,08:00:00,46240,46240,46234,46234,2,DIRECTA
MINI6F,D,2026-02-11 08:00:00,2026-02-11,08:00:00,45937,45937,45937,45937,0,DIRECTA
MINI6F,D,2026-02-12 08:00:00,2026-02-12,08:00:00,45647,45647,45647,45647,0,DIRECTA
MINI6F,D,2026-02-13 08:00:00,2026-02-13,08:00:00,45045,45045,44500,44795,6,DIRECTA
MINI6F,D,2026-02-16 08:00:00,2026-02-16,08:00:00,45075,45100,44841,44841,6,DIRECTA
MINI6F,D,2026-02-17 08:00:00,2026-02-17,08:00:00,45070,45200,44925,45179,14,DIRECTA
MINI6F,D,2026-02-18 08:00:00,2026-02-18,08:00:00,45450,45750,45380,45740,31,DIRECTA
MINI6F,D,2026-02-19 08:00:00,2026-02-19,08:00:00,45285,45285,44970,45198,10,DIRECTA
MINI6F,D,2026-02-20 08:00:00,2026-02-20,08:00:00,45500,46000,45500,45880,37,DIRECTA
MINI6F,D,2026-02-23 08:00:00,2026-02-23,08:00:00,45850,46460,45750,46102,15,DIRECTA
MINI6F,D,2026-02-24 08:00:00,2026-02-24,08:00:00,46100,46100,46055,46055,1,DIRECTA
MINI6F,D,2026-02-25 08:00:00,2026-02-25,08:00:00,46305,46566,46305,46566,1,DIRECTA
MINI6F,D,2026-02-26 08:00:00,2026-02-26,08:00:00,46785,46816,46680,46816,4,DIRECTA
MINI6F,D,2026-02-27 08:00:00,2026-02-27,08:00:00,46710,47075,46185,46601,10,DIRECTA
MINI6F,D,2026-03-02 08:00:00,2026-03-02,08:00:00,45630,45651,45335,45651,6,DIRECTA
MINI6F,D,2026-03-03 08:00:00,2026-03-03,08:00:00,45245,45245,43450,43837,35,DIRECTA
MINI6F,D,2026-03-04 08:00:00,2026-03-04,08:00:00,44385,44990,44385,44709,11,DIRECTA
MINI6F,D,2026-03-05 08:00:00,2026-03-05,08:00:00,44300,44850,43900,43970,15,DIRECTA
MINI6F,D,2026-03-06 08:00:00,2026-03-06,08:00:00,44440,44440,43050,43434,28,DIRECTA
MINI6F,D,2026-03-09 08:00:00,2026-03-09,08:00:00,42055,44300,42005,43312,93,DIRECTA
MINI6F,D,2026-03-10 08:00:00,2026-03-10,08:00:00,44100,44750,44100,44490,57,DIRECTA
MINI6F,D,2026-03-11 08:00:00,2026-03-11,08:00:00,44000,44290,43890,44059,24,DIRECTA
MINI6F,D,2026-03-12 08:00:00,2026-03-12,08:00:00,43700,44050,43290,43730,70,DIRECTA
MINI6F,D,2026-03-13 08:00:00,2026-03-13,08:00:00,43695,44040,43200,43593,54,DIRECTA
MINI6F,D,2026-03-16 08:00:00,2026-03-16,08:00:00,43755,43880,43125,43617,191,DIRECTA
MINI6F,D,2026-03-17 08:00:00,2026-03-17,08:00:00,43745,44405,43425,44156,392,DIRECTA
MINI6F,D,2026-03-18 08:00:00,2026-03-18,08:00:00,44530,44725,43425,44003,1047,DIRECTA
MINI6F,D,2026-03-19 08:00:00,2026-03-19,08:00:00,43170,43710,42660,42961,3913,DIRECTA
MINI6F,D,2026-03-20 08:00:00,2026-03-20,08:00:00,43095,43650,41475,42095,16150,DIRECTA
MINI6F,D,2026-03-23 08:00:00,2026-03-23,08:00:00,41300,43305,40900,42488,27398,DIRECTA
MINI6F,D,2026-03-24 08:00:00,2026-03-24,08:00:00,42425,43095,42060,42660,13022,DIRECTA
MINI6F,D,2026-03-25 08:00:00,2026-03-25,08:00:00,42995,43535,42940,43285,11415,DIRECTA
MINI6F,D,2026-03-26 08:00:00,2026-03-26,08:00:00,43055,43195,42640,42978,10235,DIRECTA
MINI6F,D,2026-03-27 08:00:00,2026-03-27,08:00:00,42985,43160,42255,42655,9792,DIRECTA
MINI6F,D,2026-03-30 08:00:00,2026-03-30,08:00:00,42350,43215,42305,43095,8437,DIRECTA
MINI6F,D,2026-03-31 08:00:00,2026-03-31,08:00:00,43165,44635,42905,43576,13273,DIRECTA
MINI6F,D,2026-04-01 08:00:00,2026-04-01,08:00:00,44395,45215,44310,44980,11261,DIRECTA
MINI6F,D,2026-04-02 08:00:00,2026-04-02,08:00:00,44310,45170,44030,44881,8971,DIRECTA
