symbol,timeframe,timestamp,date,time,open,high,low,close,volume,source
MINI6F,W,2025-12-23 08:00:00,2025-12-23,08:00:00,44100,44100,43966,43966,1,AGG_FROM_D
MINI6F,W,2025-12-29 08:00:00,2025-12-29,08:00:00,43786,44760,43786,44697,7,AGG_FROM_D
MINI6F,W,2026-01-05 08:00:00,2026-01-05,08:00:00,44910,45173,44810,45028,4,AGG_FROM_D
MINI6F,W,2026-01-12 08:00:00,2026-01-12,08:00:00,45031,45140,44822,45082,2,AGG_FROM_D
MINI6F,W,2026-01-19 08:00:00,2026-01-19,08:00:00,44430,44735,43881,44215,9,AGG_FROM_D
MINI6F,W,2026-01-26 08:00:00,2026-01-26,08:00:00,44365,44900,44332,44896,6,AGG_FROM_D
MINI6F,W,2026-02-02 08:00:00,2026-02-02,08:00:00,44875,46595,44875,45229,21,AGG_FROM_D
MINI6F,W,2026-02-09 08:00:00,2026-02-09,08:00:00,45600,46365,44500,44795,16,AGG_FROM_D
MINI6F,W,2026-02-16 08:00:00,2026-02-16,08:00:00,45075,46000,44841,45880,98,AGG_FROM_D
MINI6F,W,2026-02-23 08:00:00,2026-02-23,08:00:00,45850,47075,45750,46601,31,AGG_FROM_D
MINI6F,W,2026-03-02 08:00:00,2026-03-02,08:00:00,45630,45651,43050,43434,95,AGG_FROM_D
MINI6F,W,2026-03-09 08:00:00,2026-03-09,08:00:00,42055,44750,42005,43593,298,AGG_FROM_D
MINI6F,W,2026-03-16 08:00:00,2026-03-16,08:00:00,43755,44725,41475,42095,21693,AGG_FROM_D
MINI6F,W,2026-03-23 08:00:00,2026-03-23,08:00:00,41300,43535,40900,42655,71862,AGG_FROM_D
MINI6F,W,2026-03-30 08:00:00,2026-03-30,08:00:00,42350,45215,42305,44881,41942,AGG_FROM_D
